dataset,variant,n,repair_em,repair_f1,setr_em,setr_f1,dbec_em,dbec_f1,rank_fill5_available,rank_fill5_em,rank_fill5_f1,delta_em_vs_setr,delta_f1_vs_setr,delta_em_vs_dbec,delta_f1_vs_dbec,delta_em_vs_rank_fill5,delta_f1_vs_rank_fill5,empty_answer_rate,accepted_repair_count,offline_final_support_complete,offline_rank_support_complete,offline_net_gold_delta_vs_rank,offline_harmful_replacement_rate
2Wiki,rq1_mr1_g010_branchstrict,122,0.9344262295081968,0.9344262295081968,0.6229508196721312,0.6329690346083788,0.9180327868852459,0.918039344262295,1,0.8360655737704918,0.8387978142076503,0.3114754098360656,0.30145719489981787,0.01639344262295082,0.01638688524590164,0.09836065573770492,0.09562841530054644,0.0,0.9426229508196722,0.6967213114754098,0.5491803278688525,0.16393442622950818,0.04918032786885246
2Wiki,rq1_mr2_g010_branchstrict,122,0.9344262295081968,0.9344262295081968,0.6229508196721312,0.6329690346083788,0.9180327868852459,0.918039344262295,1,0.8360655737704918,0.8387978142076503,0.3114754098360656,0.30145719489981787,0.01639344262295082,0.01638688524590164,0.09836065573770492,0.09562841530054644,0.0,1.278688524590164,0.7377049180327869,0.5491803278688525,0.22131147540983606,0.06557377049180328
2Wiki,rq1_mr3_g010_branchstrict,122,0.9344262295081968,0.9344262295081968,0.6229508196721312,0.6329690346083788,0.9180327868852459,0.918039344262295,1,0.8360655737704918,0.8387978142076503,0.3114754098360656,0.30145719489981787,0.01639344262295082,0.01638688524590164,0.09836065573770492,0.09562841530054644,0.0,1.278688524590164,0.7377049180327869,0.5491803278688525,0.22131147540983606,0.06557377049180328
HotpotQA,rq1_mr1_g010_branchstrict,32,0.46875,0.6269803113553114,0.40625,0.5178591628959276,0.46875,0.626978125,0,,,0.0625,0.10912114845938375,0.0,2.186355311359703e-06,,,0.0,0.75,0.84375,0.78125,0.0625,0.0
HotpotQA,rq1_mr2_g010_branchstrict,32,0.46875,0.6269803113553114,0.40625,0.5178591628959276,0.46875,0.626978125,0,,,0.0625,0.10912114845938375,0.0,2.186355311359703e-06,,,0.0,0.84375,0.84375,0.78125,0.0625,0.0
HotpotQA,rq1_mr3_g010_branchstrict,32,0.46875,0.6269803113553114,0.40625,0.5178591628959276,0.46875,0.626978125,0,,,0.0625,0.10912114845938375,0.0,2.186355311359703e-06,,,0.0,0.84375,0.84375,0.78125,0.0625,0.0
MuSiQue,rq1_mr1_g010_branchstrict,106,0.22641509433962265,0.2921971110650356,0.16981132075471697,0.2274172368511991,0.25471698113207547,0.3093320754716981,1,0.2830188679245283,0.33915251415251413,0.05660377358490566,0.06477987421383648,-0.02830188679245283,-0.017134964406662522,-0.05660377358490566,-0.04695540308747856,0.0,0.7547169811320755,0.19811320754716982,0.20754716981132076,0.018867924528301886,0.03773584905660377
MuSiQue,rq1_mr2_g010_branchstrict,106,0.22641509433962265,0.2921971110650356,0.16981132075471697,0.2274172368511991,0.25471698113207547,0.3093320754716981,1,0.2830188679245283,0.33915251415251413,0.05660377358490566,0.06477987421383648,-0.02830188679245283,-0.017134964406662522,-0.05660377358490566,-0.04695540308747856,0.0,0.8679245283018868,0.19811320754716982,0.20754716981132076,0.018867924528301886,0.04716981132075472
MuSiQue,rq1_mr3_g010_branchstrict,106,0.22641509433962265,0.2921971110650356,0.16981132075471697,0.2274172368511991,0.25471698113207547,0.3093320754716981,1,0.2830188679245283,0.33915251415251413,0.05660377358490566,0.06477987421383648,-0.02830188679245283,-0.017134964406662522,-0.05660377358490566,-0.04695540308747856,0.0,0.8679245283018868,0.19811320754716982,0.20754716981132076,0.018867924528301886,0.04716981132075472
