bucket,missing_gold_titles,baseline_hit_at_3,baseline_hit_at_5,baseline_hit_at_10,baseline_hit_at_20,probe_hit_at_3,probe_hit_at_5,probe_hit_at_10,probe_hit_at_20,new_hit_at_3,new_hit_at_5,new_hit_at_10,new_hit_at_20,mean_source_rank,mean_probe_rank,mean_rank_improvement,positive_score_titles,probe_recall_at_3,new_recall_at_3,probe_recall_at_5,new_recall_at_5,probe_recall_at_10,new_recall_at_10,probe_recall_at_20,new_recall_at_20,positive_score_rate
overall,86,0,1,16,32,2,9,19,37,2,9,16,17,34.395348837209305,28.511627906976745,5.883720930232558,61,0.023255813953488372,0.023255813953488372,0.10465116279069768,0.10465116279069768,0.22093023255813954,0.18604651162790697,0.43023255813953487,0.19767441860465115,0.7093023255813954
source_rank_0_20,34,0,1,16,32,1,6,11,21,1,6,8,1,10.764705882352942,18.647058823529413,-7.882352941176471,25,0.029411764705882353,0.029411764705882353,0.17647058823529413,0.17647058823529413,0.3235294117647059,0.23529411764705882,0.6176470588235294,0.029411764705882353,0.7352941176470589
source_rank_51_99,24,0,0,0,0,1,1,3,5,1,1,3,5,73.83333333333333,46.208333333333336,27.625,17,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.125,0.125,0.20833333333333334,0.20833333333333334,0.7083333333333334
source_rank_21_50,28,0,0,0,0,0,2,5,11,0,2,5,11,29.285714285714285,25.321428571428573,3.9642857142857144,19,0.0,0.0,0.07142857142857142,0.07142857142857142,0.17857142857142858,0.17857142857142858,0.39285714285714285,0.39285714285714285,0.6785714285714286
