dataset,method,missing_gold_titles,queries,hit_at_5,new_at_5
MuSiQue,dbec_selective,96,72,0.0,0.0
MuSiQue,rankgpt_sliding20_step10_no_think,96,72,0.23958333333333334,0.23958333333333334
MuSiQue,setr_faithful,96,72,0.0,0.0
MuSiQue,source_order,96,72,0.010416666666666666,0.0
