policy,missing_gold_titles,new_recall_at_5,new_recall_at_10,new_recall_at_20,probe_recall_at_5,mean_source_rank,mean_probe_rank,mean_rank_improvement,positive_score_rate,decision,unique_new5_vs_current,lost_new5_vs_current
current_all,96,0.09375,0.16666666666666666,0.17708333333333334,0.09375,36.020833333333336,30.385416666666668,5.635416666666667,0.6875,weak_future_work,0,0
title_strict,96,0.0625,0.08333333333333333,0.03125,0.07291666666666667,36.020833333333336,35.572916666666664,0.4479166666666667,0.09375,weak_future_work,0,3
title_only,96,0.09375,0.16666666666666666,0.10416666666666667,0.09375,36.020833333333336,34.385416666666664,1.6354166666666667,0.22916666666666666,weak_future_work,2,2
demand_entity_title,96,0.08333333333333333,0.15625,0.10416666666666667,0.08333333333333333,36.020833333333336,34.927083333333336,1.09375,0.22916666666666666,weak_future_work,2,3
