pool,dataset,slice,comparison,metric,left_mean,right_mean,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
PropRAG,2Wiki,support_depth=2,DBEC-nobinding - SetR-faithful,EM,0.47581699346405226,0.5529411764705883,765,-0.07712418300653595,-0.10457516339869281,-0.04967320261437908,0.0,True
PropRAG,2Wiki,support_depth=2,DBEC-nobinding - SetR-faithful,F1,0.5594644444444445,0.6449573991730855,765,-0.08549295472864099,-0.11112067940592449,-0.05948698535705398,0.0,True
PropRAG,2Wiki,support_depth=2,DBEC-nobinding - SetR-faithful,R5_TITLE,0.8679738562091504,0.9150326797385621,765,-0.047058823529411764,-0.06405228758169934,-0.03071895424836601,0.0,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - DBEC-nobinding,EM,0.9148936170212766,0.7829787234042553,235,0.13191489361702127,0.08085106382978724,0.18723404255319148,1.0,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - DBEC-nobinding,F1,0.9148970212765958,0.7829787234042553,235,0.1319182978723404,0.08085446808510638,0.18298212765957447,1.0,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - DBEC-nobinding,R5_TITLE,0.9297872340425531,0.8446808510638298,235,0.0851063829787234,0.06063829787234042,0.10957446808510639,1.0,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - DBEC,EM,0.9148936170212766,0.9148936170212766,235,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth>=3,DBEC-IG - DBEC,F1,0.9148970212765958,0.9148970212765958,235,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth>=3,DBEC-IG - DBEC,R5_TITLE,0.9297872340425531,0.9297872340425531,235,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth>=3,DBEC-IG - SetR-faithful,EM,0.9148936170212766,0.7659574468085106,235,0.14893617021276595,0.09361702127659574,0.20425531914893616,1.0,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - SetR-faithful,F1,0.9148970212765958,0.7711583924349882,235,0.14373862884160757,0.08936170212765958,0.20001029787234043,1.0,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - SetR-faithful,R5_TITLE,0.9297872340425531,0.7829787234042553,235,0.14680851063829786,0.11702127659574468,0.17553191489361702,1.0,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - SetR-style k20,EM,0.9148936170212766,0.8680851063829788,235,0.04680851063829787,0.00425531914893617,0.09361702127659574,0.9791,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - SetR-style k20,F1,0.9148970212765958,0.8695035460992908,235,0.045393475177304965,0.0014218439716312064,0.09079043971631208,0.9793,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - SetR-style k20,R5_TITLE,0.9297872340425531,0.9191489361702128,235,0.010638297872340425,-0.010638297872340425,0.030851063829787233,0.8266,False
PropRAG,2Wiki,support_depth>=3,DBEC-IG - RankGPT-style sliding,EM,0.9148936170212766,0.8553191489361702,235,0.059574468085106386,0.01702127659574468,0.10638297872340426,0.9954,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - RankGPT-style sliding,F1,0.9148970212765958,0.8567375886524823,235,0.05815943262411347,0.014194609929078016,0.1049645390070922,0.9968,True
PropRAG,2Wiki,support_depth>=3,DBEC-IG - RankGPT-style sliding,R5_TITLE,0.9297872340425531,0.9053191489361702,235,0.02446808510638298,0.0031914893617021275,0.04680851063829787,0.9853,True
PropRAG,2Wiki,support_depth>=3,DBEC-nobinding - SetR-faithful,EM,0.7829787234042553,0.7659574468085106,235,0.01702127659574468,-0.04680851063829787,0.08085106382978724,0.6742,False
PropRAG,2Wiki,support_depth>=3,DBEC-nobinding - SetR-faithful,F1,0.7829787234042553,0.7711583924349882,235,0.011820330969267141,-0.05106382978723404,0.07424349881796674,0.64,False
PropRAG,2Wiki,support_depth>=3,DBEC-nobinding - SetR-faithful,R5_TITLE,0.8446808510638298,0.7829787234042553,235,0.06170212765957447,0.031914893617021274,0.09042553191489362,1.0,True
PropRAG,2Wiki,support_depth>=4,DBEC-IG - DBEC-nobinding,EM,0.9148936170212766,0.7829787234042553,235,0.13191489361702127,0.08085106382978724,0.18723404255319148,1.0,True
PropRAG,2Wiki,support_depth>=4,DBEC-IG - DBEC-nobinding,F1,0.9148970212765958,0.7829787234042553,235,0.1319182978723404,0.08085446808510638,0.18723404255319148,1.0,True
PropRAG,2Wiki,support_depth>=4,DBEC-IG - DBEC-nobinding,R5_TITLE,0.9297872340425531,0.8446808510638298,235,0.0851063829787234,0.06063829787234042,0.10851063829787234,1.0,True
PropRAG,2Wiki,support_depth>=4,DBEC-IG - DBEC,EM,0.9148936170212766,0.9148936170212766,235,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth>=4,DBEC-IG - DBEC,F1,0.9148970212765958,0.9148970212765958,235,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth>=4,DBEC-IG - DBEC,R5_TITLE,0.9297872340425531,0.9297872340425531,235,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth>=4,DBEC-IG - SetR-faithful,EM,0.9148936170212766,0.7659574468085106,235,0.14893617021276595,0.09361702127659574,0.20425531914893616,1.0,True
PropRAG,2Wiki,support_depth>=4,DBEC-IG - SetR-faithful,F1,0.9148970212765958,0.7711583924349882,235,0.14373862884160757,0.08795007092198583,0.20047962174940898,1.0,True
PropRAG,2Wiki,support_depth>=4,DBEC-IG - SetR-faithful,R5_TITLE,0.9297872340425531,0.7829787234042553,235,0.14680851063829786,0.11702127659574468,0.17553191489361702,1.0,True
PropRAG,2Wiki,support_depth>=4,DBEC-IG - SetR-style k20,EM,0.9148936170212766,0.8680851063829788,235,0.04680851063829787,0.0,0.09361702127659574,0.9747,False
PropRAG,2Wiki,support_depth>=4,DBEC-IG - SetR-style k20,F1,0.9148970212765958,0.8695035460992908,235,0.045393475177304965,0.0028368794326241137,0.08936510638297872,0.9807,True
PropRAG,2Wiki,support_depth>=4,DBEC-IG - SetR-style k20,R5_TITLE,0.9297872340425531,0.9191489361702128,235,0.010638297872340425,-0.010638297872340425,0.031914893617021274,0.8214,False
PropRAG,2Wiki,support_depth>=4,DBEC-IG - RankGPT-style sliding,EM,0.9148936170212766,0.8553191489361702,235,0.059574468085106386,0.01276595744680851,0.10638297872340426,0.9936,True
PropRAG,2Wiki,support_depth>=4,DBEC-IG - RankGPT-style sliding,F1,0.9148970212765958,0.8567375886524823,235,0.05815943262411347,0.015602836879432626,0.10213114893617023,0.9951,True
PropRAG,2Wiki,support_depth>=4,DBEC-IG - RankGPT-style sliding,R5_TITLE,0.9297872340425531,0.9053191489361702,235,0.02446808510638298,0.002127659574468085,0.04680851063829787,0.9815,True
PropRAG,2Wiki,support_depth>=4,DBEC-nobinding - SetR-faithful,EM,0.7829787234042553,0.7659574468085106,235,0.01702127659574468,-0.04680851063829787,0.08085106382978724,0.6692,False
PropRAG,2Wiki,support_depth>=4,DBEC-nobinding - SetR-faithful,F1,0.7829787234042553,0.7711583924349882,235,0.011820330969267141,-0.05248226950354609,0.07377068557919605,0.6329,False
PropRAG,2Wiki,support_depth>=4,DBEC-nobinding - SetR-faithful,R5_TITLE,0.8446808510638298,0.7829787234042553,235,0.06170212765957447,0.03297872340425532,0.09148936170212765,1.0,True
PropRAG,2Wiki,gate=bind,DBEC-IG - DBEC-nobinding,EM,0.5974212034383954,0.46275071633237824,698,0.1346704871060172,0.10315186246418338,0.166189111747851,1.0,True
PropRAG,2Wiki,gate=bind,DBEC-IG - DBEC-nobinding,F1,0.6852547277936962,0.5422212034383954,698,0.14303352435530087,0.11380732091690546,0.17289707020057304,1.0,True
PropRAG,2Wiki,gate=bind,DBEC-IG - DBEC-nobinding,R5_TITLE,0.9534383954154728,0.8409742120343839,698,0.11246418338108882,0.09634670487106017,0.12893982808022922,1.0,True
PropRAG,2Wiki,gate=bind,DBEC-IG - DBEC,EM,0.5974212034383954,0.5974212034383954,698,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,gate=bind,DBEC-IG - DBEC,F1,0.6852547277936962,0.6852547277936962,698,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,gate=bind,DBEC-IG - DBEC,R5_TITLE,0.9534383954154728,0.9534383954154728,698,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,gate=bind,DBEC-IG - SetR-faithful,EM,0.5974212034383954,0.5343839541547278,698,0.06303724928366762,0.034383954154727794,0.09312320916905444,1.0,True
PropRAG,2Wiki,gate=bind,DBEC-IG - SetR-faithful,F1,0.6852547277936962,0.6239963912241848,698,0.06125833656951135,0.03419019243888872,0.08876011126767215,1.0,True
PropRAG,2Wiki,gate=bind,DBEC-IG - SetR-faithful,R5_TITLE,0.9534383954154728,0.8660458452722063,698,0.08739255014326648,0.07127507163323782,0.10351002865329513,1.0,True
PropRAG,2Wiki,gate=bind,DBEC-IG - SetR-style k20,EM,0.5974212034383954,0.5616045845272206,698,0.03581661891117478,0.008595988538681949,0.06303724928366762,0.9954,True
PropRAG,2Wiki,gate=bind,DBEC-IG - SetR-style k20,F1,0.6852547277936962,0.6517116320483083,698,0.033543095745388,0.009069920075149299,0.05867543665225255,0.9962,True
PropRAG,2Wiki,gate=bind,DBEC-IG - SetR-style k20,R5_TITLE,0.9534383954154728,0.9387535816618912,698,0.014684813753581662,0.002507163323782235,0.027220630372492838,0.9894,True
PropRAG,2Wiki,gate=bind,DBEC-IG - RankGPT-style sliding,EM,0.5974212034383954,0.5401146131805158,698,0.05730659025787966,0.03008595988538682,0.08452722063037249,1.0,True
PropRAG,2Wiki,gate=bind,DBEC-IG - RankGPT-style sliding,F1,0.6852547277936962,0.6194152751101175,698,0.06583945268357876,0.03902455726023419,0.09264094077444364,1.0,True
PropRAG,2Wiki,gate=bind,DBEC-IG - RankGPT-style sliding,R5_TITLE,0.9534383954154728,0.8968481375358166,698,0.05659025787965616,0.04047277936962751,0.07306590257879657,1.0,True
PropRAG,2Wiki,gate=bind,DBEC-nobinding - SetR-faithful,EM,0.46275071633237824,0.5343839541547278,698,-0.07163323782234957,-0.10458452722063037,-0.03724928366762178,0.0,True
PropRAG,2Wiki,gate=bind,DBEC-nobinding - SetR-faithful,F1,0.5422212034383954,0.6239963912241848,698,-0.0817751877857895,-0.11415558070590665,-0.05036983343304263,0.0,True
PropRAG,2Wiki,gate=bind,DBEC-nobinding - SetR-faithful,R5_TITLE,0.8409742120343839,0.8660458452722063,698,-0.025071633237822348,-0.044412607449856735,-0.0060888252148997134,0.0041,True
PropRAG,2Wiki,gate=abstain,DBEC-IG - DBEC-nobinding,EM,0.7450331125827815,0.7450331125827815,302,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,gate=abstain,DBEC-IG - DBEC-nobinding,F1,0.773244701986755,0.773244701986755,302,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,gate=abstain,DBEC-IG - DBEC-nobinding,R5_TITLE,0.9122516556291391,0.9122516556291391,302,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,gate=abstain,DBEC-IG - DBEC,EM,0.7450331125827815,0.7450331125827815,302,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,gate=abstain,DBEC-IG - DBEC,F1,0.773244701986755,0.773244701986755,302,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,gate=abstain,DBEC-IG - DBEC,R5_TITLE,0.9122516556291391,0.9122516556291391,302,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,gate=abstain,DBEC-IG - SetR-faithful,EM,0.7450331125827815,0.7615894039735099,302,-0.016556291390728478,-0.056291390728476824,0.023178807947019868,0.1849,False
PropRAG,2Wiki,gate=abstain,DBEC-IG - SetR-faithful,F1,0.773244701986755,0.7916064619707004,302,-0.018361759983945413,-0.05521417920931167,0.018012208007224556,0.1645,False
PropRAG,2Wiki,gate=abstain,DBEC-IG - SetR-faithful,R5_TITLE,0.9122516556291391,0.9254966887417219,302,-0.013245033112582781,-0.03559602649006623,0.007471026490065924,0.1084,False
PropRAG,2Wiki,gate=abstain,DBEC-IG - SetR-style k20,EM,0.7450331125827815,0.7682119205298014,302,-0.023178807947019868,-0.059602649006622516,0.009933774834437087,0.07,False
