dataset,slice,recovery_label,n,mean_gold_doc_count,mean_setr_selected_count,count_under_select_rate,setr_support_recall,dbec_support_recall,delta_support_recall,setr_complete_rate,dbec_complete_rate,setr_incomplete_to_dbec_complete_rate,dbec_recovered_any_missing_rate,dbec_recovered_all_missing_rate,mean_setr_missing_count,mean_dbec_recovered_missing_count,setr_f1,dbec_f1,delta_f1,delta_f1_ci_low,delta_f1_ci_high,delta_f1_ci_excludes_zero
2Wiki,SetR count-underselected,dbec_recovers_none,21,2.9523809523809526,1.9047619047619047,1.0,0.6071428571428571,0.6071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0476190476190477,0.0,0.2857142857142857,0.3809904761904762,0.09527619047619047,0.0,0.23813333333333334,False
2Wiki,SetR count-underselected,dbec_recovers_some_missing,20,4.0,2.25,1.0,0.5,0.75,0.25,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.45,0.9,0.45,0.25,0.65,True
2Wiki,SetR count-underselected,dbec_recovers_all_missing,116,3.586206896551724,2.2758620689655173,1.0,0.6142241379310345,0.978448275862069,0.3642241379310345,0.0,0.9310344827586207,0.9310344827586207,1.0,1.0,1.3362068965517242,1.3362068965517242,0.593941570881226,0.8513646551724138,0.25742308429118776,0.17049807710727968,0.3436297006704981,True
HotpotQA,SetR count-underselected,dbec_recovers_none,5,2.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.17019607843137255,0.41332,0.24312392156862744,-0.0470721568627451,0.6431305882352941,False
HotpotQA,SetR count-underselected,dbec_recovers_all_missing,27,2.0,1.0,1.0,0.48148148148148145,0.9814814814814815,0.5,0.0,0.9629629629629629,0.9629629629629629,1.0,1.0,1.0,1.0,0.5822412155745489,0.6665444444444445,0.08430322886989554,-0.0564379938271605,0.23809535849952515,False
MuSiQue,SetR count-underselected,dbec_recovers_none,55,3.272727272727273,2.2,1.0,0.4909090909090909,0.4712121212121212,-0.019696969696969695,0.0,0.0,0.0,0.0,0.0,1.709090909090909,0.0,0.25333333333333335,0.26545454545454544,0.012121212121212118,-0.07878789393939395,0.10484848484848484,False
MuSiQue,SetR count-underselected,dbec_recovers_some_missing,35,3.4857142857142858,2.3714285714285714,1.0,0.3261904761904762,0.5833333333333334,0.2571428571428571,0.0,0.0,0.0,1.0,0.0,2.3142857142857145,1.0857142857142856,0.14761904761904762,0.2571428571428571,0.10952380952380952,-0.014285714285714284,0.2523809523809524,False
MuSiQue,SetR count-underselected,dbec_recovers_all_missing,40,2.775,1.75,1.0,0.5145833333333333,0.9541666666666667,0.4395833333333334,0.0,0.875,0.875,1.0,1.0,1.35,1.35,0.2876556776556777,0.441515,0.15385932234432237,0.0041493381410256415,0.3038588580586081,True
