dataset,slice,recovery_label,n,mean_gold_doc_count,mean_setr_selected_count,count_under_select_rate,setr_support_recall,dbec_support_recall,delta_support_recall,setr_complete_rate,dbec_complete_rate,setr_incomplete_to_dbec_complete_rate,dbec_recovered_any_missing_rate,dbec_recovered_all_missing_rate,mean_setr_missing_count,mean_dbec_recovered_missing_count,setr_f1,dbec_f1,delta_f1,delta_f1_ci_low,delta_f1_ci_high,delta_f1_ci_excludes_zero
MuSiQue,all,dbec_recovers_none,245,3.1142857142857143,3.942857142857143,0.22448979591836735,0.5469387755102041,0.47551020408163264,-0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.4244897959183673,0.0,0.2669187040362879,0.252650612244898,-0.014268091791389952,-0.058215701592658375,0.02933794782424248,False
MuSiQue,all,dbec_recovers_some_missing,115,3.382608695652174,3.9478260869565216,0.30434782608695654,0.3108695652173913,0.5768115942028985,0.26594202898550723,0.0,0.0,0.0,1.0,0.0,2.2695652173913046,1.1043478260869566,0.12107660455486542,0.22803304347826087,0.10695643892339546,0.036547721532091106,0.17990520807453417,True
MuSiQue,all,dbec_recovers_all_missing,233,2.5622317596566524,3.2618025751072963,0.17167381974248927,0.5196709585121602,0.9324034334763949,0.41273247496423465,0.0,0.8154506437768241,0.8154506437768241,1.0,1.0,1.201716738197425,1.201716738197425,0.3162666851508053,0.47378283261802573,0.15751614746722042,0.08983997799887285,0.22364769970015674,True
MuSiQue,gold_doc_count=2,dbec_recovers_none,57,2.0,3.4210526315789473,0.15789473684210525,0.5,0.45614035087719296,-0.043859649122807015,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12162136109504532,0.17286315789473686,0.051241796799691534,-0.0010032658569500705,0.10873924812030074,False
MuSiQue,gold_doc_count=2,dbec_recovers_some_missing,11,2.0,3.3636363636363638,0.09090909090909091,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.0,0.13636363636363635,False
MuSiQue,gold_doc_count=2,dbec_recovers_all_missing,121,2.0,2.975206611570248,0.11570247933884298,0.4793388429752066,0.9710743801652892,0.49173553719008267,0.0,0.9421487603305785,0.9421487603305785,1.0,1.0,1.0413223140495869,1.0413223140495869,0.34648134234911093,0.5468768595041322,0.20039551715502124,0.10679103752996315,0.29659974195914274,True
MuSiQue,gold_doc_count>=3,dbec_recovers_none,188,3.452127659574468,4.101063829787234,0.24468085106382978,0.5611702127659575,0.48138297872340424,-0.0797872340425532,0.0,0.0,0.0,0.0,0.0,1.553191489361702,0.0,0.31097162184294125,0.2768414893617021,-0.03413013248123912,-0.08932737260243943,0.019993018971866464,False
MuSiQue,gold_doc_count>=3,dbec_recovers_some_missing,104,3.5288461538461537,4.009615384615385,0.3269230769230769,0.34375,0.5849358974358975,0.24118589743589744,0.0,0.0,0.0,1.0,0.0,2.298076923076923,1.1153846153846154,0.1290750915750916,0.24253653846153847,0.1134614468864469,0.032728952609890116,0.19696237293956043,True
MuSiQue,gold_doc_count>=3,dbec_recovers_all_missing,112,3.169642857142857,3.5714285714285716,0.23214285714285715,0.5632440476190476,0.890625,0.32738095238095244,0.0,0.6785714285714286,0.6785714285714286,1.0,1.0,1.375,1.375,0.2836240644276359,0.39481517857142856,0.11119111414379271,0.017270262929035256,0.20672347392934445,True
MuSiQue,SetR count-underselected,dbec_recovers_none,55,3.272727272727273,2.2,1.0,0.4909090909090909,0.4712121212121212,-0.019696969696969695,0.0,0.0,0.0,0.0,0.0,1.709090909090909,0.0,0.25333333333333335,0.26545454545454544,0.012121212121212118,-0.0818181818181818,0.10727272727272728,False
MuSiQue,SetR count-underselected,dbec_recovers_some_missing,35,3.4857142857142858,2.3714285714285714,1.0,0.3261904761904762,0.5833333333333334,0.2571428571428571,0.0,0.0,0.0,1.0,0.0,2.3142857142857145,1.0857142857142856,0.14761904761904762,0.2571428571428571,0.10952380952380952,-0.02857142857142857,0.2523809523809524,False
MuSiQue,SetR count-underselected,dbec_recovers_all_missing,40,2.775,1.75,1.0,0.5145833333333333,0.9541666666666667,0.4395833333333334,0.0,0.875,0.875,1.0,1.0,1.35,1.35,0.2876556776556777,0.441515,0.15385932234432237,0.003858965201465209,0.30564397413003663,True
MuSiQue,gold_doc_count>=3 and SetR count-underselected,dbec_recovers_none,46,3.5217391304347827,2.4347826086956523,1.0,0.4891304347826087,0.4655797101449275,-0.02355072463768116,0.0,0.0,0.0,0.0,0.0,1.8478260869565217,0.0,0.2702898550724638,0.2543478260869565,-0.01594202898550725,-0.1181152355072464,0.0927536231884058,False
MuSiQue,gold_doc_count>=3 and SetR count-underselected,dbec_recovers_some_missing,34,3.5294117647058822,2.411764705882353,1.0,0.33578431372549017,0.5857843137254902,0.25,0.0,0.0,0.0,1.0,0.0,2.323529411764706,1.088235294117647,0.15196078431372548,0.2647058823529412,0.11274509803921567,-0.009803921568627456,0.25980392156862747,False
MuSiQue,gold_doc_count>=3 and SetR count-underselected,dbec_recovers_all_missing,26,3.1923076923076925,2.1538461538461537,1.0,0.5224358974358974,0.9294871794871795,0.4070512820512821,0.0,0.8076923076923077,0.8076923076923077,1.0,1.0,1.5384615384615385,1.5384615384615385,0.2502395040856579,0.46496923076923075,0.21472972668357285,0.03846042582417582,0.40703668639053253,True
