dataset,slice,n,min_gold_doc_count,max_gold_doc_count,mean_gold_doc_count,comparison,metric,left_mean,right_mean,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - RankGPT-style sliding,F1,0.9148970212765958,0.8567375886524823,0.05815943262411347,0.015606241134751774,0.1049645390070922,0.9969,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - RankGPT-style sliding,R5_TITLE,0.9297872340425531,0.9053191489361702,0.02446808510638298,0.002127659574468085,0.045744680851063826,0.9838,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,SetR-faithful - RankGPT-style sliding,EM,0.7659574468085106,0.8553191489361702,-0.08936170212765958,-0.14893617021276595,-0.029787234042553193,0.0009,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,SetR-faithful - RankGPT-style sliding,F1,0.7711583924349882,0.8567375886524823,-0.08557919621749409,-0.1451536643026005,-0.026004728132387706,0.0016,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,SetR-faithful - RankGPT-style sliding,R5_TITLE,0.7829787234042553,0.9053191489361702,-0.12234042553191489,-0.15,-0.09468085106382979,0.0,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - SetR-faithful,EM,0.9148936170212766,0.7659574468085106,0.14893617021276595,0.09361702127659574,0.20425531914893616,1.0,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - SetR-faithful,F1,0.9148970212765958,0.7711583924349882,0.14373862884160757,0.0884160756501182,0.1995271867612293,1.0,True
2Wiki,gold_doc_count>=4,235,4,4,4.0,DAEC-selective - SetR-faithful,R5_TITLE,0.9297872340425531,0.7829787234042553,0.14680851063829786,0.11808510638297873,0.17553191489361702,1.0,True
HotpotQA,all,1000,2,2,2.0,DAEC-selective - RankGPT-style sliding,EM,0.62,0.566,0.054,0.032,0.076,1.0,True
HotpotQA,all,1000,2,2,2.0,DAEC-selective - RankGPT-style sliding,F1,0.7473044,0.6844810404765513,0.0628233595234487,0.04257548359879973,0.0835936094510864,1.0,True
HotpotQA,all,1000,2,2,2.0,DAEC-selective - RankGPT-style sliding,R5_TITLE,0.9625,0.8805,0.082,0.0675,0.0975,1.0,True
HotpotQA,all,1000,2,2,2.0,SetR-faithful - RankGPT-style sliding,EM,0.625,0.566,0.059,0.037,0.082,1.0,True
HotpotQA,all,1000,2,2,2.0,SetR-faithful - RankGPT-style sliding,F1,0.7434934946890055,0.6844810404765513,0.05901245421245421,0.03734409479409479,0.08080477453102453,1.0,True
HotpotQA,all,1000,2,2,2.0,SetR-faithful - RankGPT-style sliding,R5_TITLE,0.9245,0.8805,0.044,0.0275,0.061,1.0,True
HotpotQA,all,1000,2,2,2.0,DAEC-selective - SetR-faithful,EM,0.62,0.625,-0.005,-0.025,0.015,0.2856,False
HotpotQA,all,1000,2,2,2.0,DAEC-selective - SetR-faithful,F1,0.7473044,0.7434934946890055,0.003810905310994474,-0.014853025618323025,0.022536867063114037,0.6533,False
HotpotQA,all,1000,2,2,2.0,DAEC-selective - SetR-faithful,R5_TITLE,0.9625,0.9245,0.038,0.0255,0.0505,1.0,True
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - RankGPT-style sliding,EM,0.62,0.566,0.054,0.032,0.076,1.0,True
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - RankGPT-style sliding,F1,0.7473044,0.6844810404765513,0.0628233595234487,0.04281121238235621,0.08374745454427839,1.0,True
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - RankGPT-style sliding,R5_TITLE,0.9625,0.8805,0.082,0.067,0.097,1.0,True
HotpotQA,gold_doc_count=2,1000,2,2,2.0,SetR-faithful - RankGPT-style sliding,EM,0.625,0.566,0.059,0.037,0.082,1.0,True
HotpotQA,gold_doc_count=2,1000,2,2,2.0,SetR-faithful - RankGPT-style sliding,F1,0.7434934946890055,0.6844810404765513,0.05901245421245421,0.037888868492618494,0.08073791708291708,1.0,True
