dataset,comparison,metric,left_mean,right_mean,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
HotpotQA,DAEC - SetR-style k20,R5_TITLE,0.9625,0.9735,1000,-0.011,-0.02,-0.002,0.0058,True
HotpotQA,DAEC-selective - SetR-style k20,EM,0.62,0.629,1000,-0.009,-0.025,0.007,0.1171,False
HotpotQA,DAEC-selective - SetR-style k20,F1,0.7473044,0.7551750575705685,1000,-0.007870657570568408,-0.022575805487863535,0.006365697725198774,0.1363,False
HotpotQA,DAEC-selective - SetR-style k20,R5_TITLE,0.9625,0.9735,1000,-0.011,-0.02,-0.002,0.006,True
HotpotQA,DAEC - IRCoT-style local,EM,0.62,0.59,1000,0.03,0.01,0.05,0.998,True
HotpotQA,DAEC - IRCoT-style local,F1,0.7473044,0.7078637660842769,1000,0.03944063391572308,0.02093486036641463,0.05840516704338059,1.0,True
HotpotQA,DAEC - IRCoT-style local,R5_TITLE,0.9625,0.92,1000,0.0425,0.03,0.055,1.0,True
HotpotQA,DAEC-selective - IRCoT-style local,EM,0.62,0.59,1000,0.03,0.01,0.051,0.9981,True
HotpotQA,DAEC-selective - IRCoT-style local,F1,0.7473044,0.7078637660842769,1000,0.03944063391572308,0.02030735561546211,0.058387611097104636,1.0,True
HotpotQA,DAEC-selective - IRCoT-style local,R5_TITLE,0.9625,0.92,1000,0.0425,0.03,0.0555,1.0,True
HotpotQA,DAEC - LLM-direct title,EM,0.62,0.537,1000,0.083,0.06,0.107,1.0,True
HotpotQA,DAEC - LLM-direct title,F1,0.7473044,0.6477992444947553,1000,0.09950515550524466,0.07719023069422323,0.12191712080123865,1.0,True
HotpotQA,DAEC - LLM-direct title,R5_TITLE,0.9625,0.828,1000,0.1345,0.1185,0.151,1.0,True
HotpotQA,DAEC - LLM-direct snippet128,EM,0.62,0.545,1000,0.075,0.052,0.099,1.0,True
HotpotQA,DAEC - LLM-direct snippet128,F1,0.7473044,0.6544034291989401,1000,0.09290097080105997,0.07092616467284178,0.11558999201035892,1.0,True
HotpotQA,DAEC - LLM-direct snippet128,R5_TITLE,0.9625,0.8145,1000,0.148,0.13,0.1665,1.0,True
HotpotQA,DAEC-selective - LLM-direct title,EM,0.62,0.537,1000,0.083,0.06,0.107,1.0,True
HotpotQA,DAEC-selective - LLM-direct title,F1,0.7473044,0.6477992444947553,1000,0.09950515550524466,0.07639258964162943,0.1215731471084952,1.0,True
HotpotQA,DAEC-selective - LLM-direct title,R5_TITLE,0.9625,0.828,1000,0.1345,0.1185,0.151,1.0,True
HotpotQA,DAEC-selective - LLM-direct snippet128,EM,0.62,0.545,1000,0.075,0.052,0.099,1.0,True
HotpotQA,DAEC-selective - LLM-direct snippet128,F1,0.7473044,0.6544034291989401,1000,0.09290097080105997,0.07045977684449195,0.11555408437253749,1.0,True
HotpotQA,DAEC-selective - LLM-direct snippet128,R5_TITLE,0.9625,0.8145,1000,0.148,0.13,0.1655,1.0,True
MuSiQue,DAEC - Top5,EM,0.337,0.33,1000,0.007,-0.014,0.028,0.7233,False
MuSiQue,DAEC - Top5,F1,0.4358931,0.42663599999999996,1000,0.009257099999999999,-0.011414265000000002,0.029547277499999997,0.8122,False
MuSiQue,DAEC - Top5,R5_TITLE,0.7611666666666668,0.73775,1000,0.023416666666666665,0.01033125,0.0362520833333333,0.9996,True
MuSiQue,DAEC-selective - Top5,EM,0.353,0.33,1000,0.023,0.002,0.044,0.9803,True
MuSiQue,DAEC-selective - Top5,F1,0.45480810000000005,0.42663599999999996,1000,0.02817210000000001,0.007663127499999999,0.04923943999999999,0.9967,True
MuSiQue,DAEC-selective - Top5,R5_TITLE,0.7745,0.73775,1000,0.03675,0.025,0.04858333333333333,1.0,True
MuSiQue,DAEC-selective - DAEC,EM,0.353,0.337,1000,0.016,0.006,0.026,0.9988,True
MuSiQue,DAEC-selective - DAEC,F1,0.45480810000000005,0.4358931,1000,0.018914999999999998,0.007853357499999998,0.030567417499999996,0.9997,True
MuSiQue,DAEC-selective - DAEC,R5_TITLE,0.7745,0.7611666666666668,1000,0.013333333333333332,0.00525,0.021583333333333336,0.9993,True
MuSiQue,DAEC - SetR-style k20,EM,0.337,0.377,1000,-0.04,-0.064,-0.017,0.0003,True
MuSiQue,DAEC - SetR-style k20,F1,0.4358931,0.4760560863543062,1000,-0.04016298635430617,-0.06317859224485009,-0.017416349510023004,0.0002,True
MuSiQue,DAEC - SetR-style k20,R5_TITLE,0.7611666666666668,0.7836666666666666,1000,-0.0225,-0.0375,-0.0075,0.0014,True
MuSiQue,DAEC-selective - SetR-style k20,EM,0.353,0.377,1000,-0.024,-0.047,-0.001,0.0198,True
MuSiQue,DAEC-selective - SetR-style k20,F1,0.45480810000000005,0.4760560863543062,1000,-0.02124798635430617,-0.04448019862881271,0.0010808210294014537,0.0324,False
MuSiQue,DAEC-selective - SetR-style k20,R5_TITLE,0.7745,0.7836666666666666,1000,-0.009166666666666667,-0.02300208333333333,0.004416666666666668,0.0971,False
MuSiQue,DAEC - IRCoT-style local,EM,0.337,0.327,1000,0.01,-0.018,0.037,0.7457,False
MuSiQue,DAEC - IRCoT-style local,F1,0.4358931,0.4254130907448245,1000,0.01048000925517551,-0.016516868225700164,0.03713072713103718,0.7704,False
MuSiQue,DAEC - IRCoT-style local,R5_TITLE,0.7611666666666668,0.6969166666666666,1000,0.06425,0.04674791666666667,0.08133333333333333,1.0,True
MuSiQue,DAEC-selective - IRCoT-style local,EM,0.353,0.327,1000,0.026,-0.001,0.052,0.9674,False
MuSiQue,DAEC-selective - IRCoT-style local,F1,0.45480810000000005,0.4254130907448245,1000,0.02939500925517551,0.003756720250321575,0.05545266120211058,0.9863,True
MuSiQue,DAEC-selective - IRCoT-style local,R5_TITLE,0.7745,0.6969166666666666,1000,0.07758333333333334,0.06141666666666666,0.0937520833333333,1.0,True
MuSiQue,DAEC - LLM-direct title,EM,0.337,0.272,1000,0.065,0.037,0.093,1.0,True
MuSiQue,DAEC - LLM-direct title,F1,0.4358931,0.3582032700959172,1000,0.07768982990408284,0.050491841697860966,0.10528376455521603,1.0,True
MuSiQue,DAEC - LLM-direct title,R5_TITLE,0.7611666666666668,0.6119166666666668,1000,0.14925,0.1305833333333333,0.1685833333333333,1.0,True
MuSiQue,DAEC - LLM-direct snippet128,EM,0.337,0.294,1000,0.043,0.015,0.07,0.9985,True
MuSiQue,DAEC - LLM-direct snippet128,F1,0.4358931,0.38499627621260746,1000,0.05089682378739252,0.023771496026658248,0.07878096421645692,0.9997,True
MuSiQue,DAEC - LLM-direct snippet128,R5_TITLE,0.7611666666666668,0.6305,1000,0.13066666666666668,0.11,0.151,1.0,True
MuSiQue,DAEC-selective - LLM-direct title,EM,0.353,0.272,1000,0.081,0.053,0.11,1.0,True
MuSiQue,DAEC-selective - LLM-direct title,F1,0.45480810000000005,0.3582032700959172,1000,0.09660482990408285,0.0692206040283083,0.12453183338129188,1.0,True
MuSiQue,DAEC-selective - LLM-direct title,R5_TITLE,0.7745,0.6119166666666668,1000,0.1625833333333333,0.1438333333333333,0.1809166666666667,1.0,True
MuSiQue,DAEC-selective - LLM-direct snippet128,EM,0.353,0.294,1000,0.059,0.03,0.087,1.0,True
MuSiQue,DAEC-selective - LLM-direct snippet128,F1,0.45480810000000005,0.38499627621260746,1000,0.06981182378739251,0.04284250632452343,0.09708695622541716,1.0,True
MuSiQue,DAEC-selective - LLM-direct snippet128,R5_TITLE,0.7745,0.6305,1000,0.144,0.124,0.16383541666666662,1.0,True
