dataset,variant,n,rank_quota,max_repairs,min_gain,branch_policy,final_support_recall,final_support_complete,rank_support_recall,rank_support_complete,dbec_support_recall,dbec_support_complete,delta_support_recall_vs_rank,delta_support_complete_vs_rank,delta_support_recall_vs_dbec,delta_support_complete_vs_dbec,accepted_repair_count,rank_fill_count,added_gold_count,removed_gold_count,net_gold_delta_vs_rank,harmful_replacement_rate,branch_conflict_reject_count,branch_unknown_count
2Wiki,rq1_mr1_g000_branchoff,122,1,1,0.0,off,0.9180327868852459,0.6967213114754098,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.040983606557377046,0.14754098360655737,-0.006147540983606557,-0.00819672131147541,0.9754098360655737,1.4508196721311475,0.21311475409836064,0.04918032786885246,0.16393442622950818,0.04918032786885246,0.0,1.459016393442623
2Wiki,rq1_mr1_g000_branchstrict,122,1,1,0.0,strict,0.9180327868852459,0.6967213114754098,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.040983606557377046,0.14754098360655737,-0.006147540983606557,-0.00819672131147541,0.9754098360655737,1.4508196721311475,0.21311475409836064,0.04918032786885246,0.16393442622950818,0.04918032786885246,0.0,0.03278688524590164
2Wiki,rq1_mr1_g003_branchoff,122,1,1,0.03,off,0.9180327868852459,0.6967213114754098,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.040983606557377046,0.14754098360655737,-0.006147540983606557,-0.00819672131147541,0.9754098360655737,1.4508196721311475,0.21311475409836064,0.04918032786885246,0.16393442622950818,0.04918032786885246,0.0,1.459016393442623
2Wiki,rq1_mr1_g003_branchstrict,122,1,1,0.03,strict,0.9180327868852459,0.6967213114754098,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.040983606557377046,0.14754098360655737,-0.006147540983606557,-0.00819672131147541,0.9754098360655737,1.4508196721311475,0.21311475409836064,0.04918032786885246,0.16393442622950818,0.04918032786885246,0.0,0.03278688524590164
2Wiki,rq1_mr1_g005_branchoff,122,1,1,0.05,off,0.9180327868852459,0.6967213114754098,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.040983606557377046,0.14754098360655737,-0.006147540983606557,-0.00819672131147541,0.9672131147540983,1.459016393442623,0.21311475409836064,0.04918032786885246,0.16393442622950818,0.04918032786885246,0.0,1.459016393442623
2Wiki,rq1_mr1_g005_branchstrict,122,1,1,0.05,strict,0.9180327868852459,0.6967213114754098,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.040983606557377046,0.14754098360655737,-0.006147540983606557,-0.00819672131147541,0.9672131147540983,1.459016393442623,0.21311475409836064,0.04918032786885246,0.16393442622950818,0.04918032786885246,0.0,0.03278688524590164
2Wiki,rq1_mr1_g010_branchoff,122,1,1,0.1,off,0.9180327868852459,0.6967213114754098,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.040983606557377046,0.14754098360655737,-0.006147540983606557,-0.00819672131147541,0.9426229508196722,1.4836065573770492,0.21311475409836064,0.04918032786885246,0.16393442622950818,0.04918032786885246,0.0,1.4754098360655739
2Wiki,rq1_mr1_g010_branchstrict,122,1,1,0.1,strict,0.9180327868852459,0.6967213114754098,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.040983606557377046,0.14754098360655737,-0.006147540983606557,-0.00819672131147541,0.9426229508196722,1.4836065573770492,0.21311475409836064,0.04918032786885246,0.16393442622950818,0.04918032786885246,0.0,0.03278688524590164
2Wiki,rq1_mr2_g000_branchoff,122,1,2,0.0,off,0.9282786885245902,0.7213114754098361,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.05122950819672131,0.1721311475409836,0.004098360655737705,0.01639344262295082,1.3688524590163935,1.0573770491803278,0.29508196721311475,0.09016393442622951,0.20491803278688525,0.08196721311475409,0.0,2.0245901639344264
2Wiki,rq1_mr2_g000_branchstrict,122,1,2,0.0,strict,0.9282786885245902,0.7213114754098361,0.8770491803278688,0.5491803278688525,0.9241803278688525,0.7049180327868853,0.05122950819672131,0.1721311475409836,0.004098360655737705,0.01639344262295082,1.3688524590163935,1.0573770491803278,0.29508196721311475,0.09016393442622951,0.20491803278688525,0.08196721311475409,0.0,0.05737704918032787
