dataset,variant,baseline,metric,rank_quota,max_repairs,min_gain,branch_policy,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
2Wiki,rq1_mr1_g010_branchoff,dbec_selective,support_recall,1,1,0.1,off,122,-0.006147540983606557,-0.02459016393442623,0.012295081967213115,0.2313,False
2Wiki,rq1_mr1_g010_branchoff,rank_fill5,support_complete,1,1,0.1,off,122,0.14754098360655737,0.06557377049180328,0.22950819672131148,0.9996,True
2Wiki,rq1_mr1_g010_branchoff,dbec_selective,support_complete,1,1,0.1,off,122,-0.00819672131147541,-0.07377049180327869,0.05737704918032787,0.3533,False
2Wiki,rq1_mr1_g010_branchoff,rank_fill5,support_hit_count,1,1,0.1,off,122,0.16393442622950818,0.08196721311475409,0.2540983606557377,0.9999,True
2Wiki,rq1_mr1_g010_branchoff,dbec_selective,support_hit_count,1,1,0.1,off,122,-0.02459016393442623,-0.09836065573770492,0.05737704918032787,0.2294,False
2Wiki,rq1_mr1_g010_branchstrict,rank_fill5,support_recall,1,1,0.1,strict,122,0.040983606557377046,0.020491803278688523,0.06352459016393443,1.0,True
2Wiki,rq1_mr1_g010_branchstrict,dbec_selective,support_recall,1,1,0.1,strict,122,-0.006147540983606557,-0.02459016393442623,0.012295081967213115,0.2235,False
2Wiki,rq1_mr1_g010_branchstrict,rank_fill5,support_complete,1,1,0.1,strict,122,0.14754098360655737,0.06557377049180328,0.22950819672131148,0.9998,True
2Wiki,rq1_mr1_g010_branchstrict,dbec_selective,support_complete,1,1,0.1,strict,122,-0.00819672131147541,-0.07377049180327869,0.05737704918032787,0.354,False
2Wiki,rq1_mr1_g010_branchstrict,rank_fill5,support_hit_count,1,1,0.1,strict,122,0.16393442622950818,0.08196721311475409,0.2540983606557377,0.9999,True
2Wiki,rq1_mr1_g010_branchstrict,dbec_selective,support_hit_count,1,1,0.1,strict,122,-0.02459016393442623,-0.09836065573770492,0.04918032786885246,0.223,False
2Wiki,rq1_mr2_g000_branchoff,rank_fill5,support_recall,1,2,0.0,off,122,0.05122950819672131,0.02459016393442623,0.07991803278688525,1.0,True
2Wiki,rq1_mr2_g000_branchoff,dbec_selective,support_recall,1,2,0.0,off,122,0.004098360655737705,-0.006147540983606557,0.01639344262295082,0.7025,False
2Wiki,rq1_mr2_g000_branchoff,rank_fill5,support_complete,1,2,0.0,off,122,0.1721311475409836,0.07377049180327869,0.27049180327868855,0.9998,True
2Wiki,rq1_mr2_g000_branchoff,dbec_selective,support_complete,1,2,0.0,off,122,0.01639344262295082,-0.02459016393442623,0.05737704918032787,0.7308,False
2Wiki,rq1_mr2_g000_branchoff,rank_fill5,support_hit_count,1,2,0.0,off,122,0.20491803278688525,0.09836065573770492,0.3114754098360656,0.9998,True
2Wiki,rq1_mr2_g000_branchoff,dbec_selective,support_hit_count,1,2,0.0,off,122,0.01639344262295082,-0.02459016393442623,0.06557377049180328,0.7125,False
2Wiki,rq1_mr2_g000_branchstrict,rank_fill5,support_recall,1,2,0.0,strict,122,0.05122950819672131,0.02459016393442623,0.07991803278688525,0.9998,True
2Wiki,rq1_mr2_g000_branchstrict,dbec_selective,support_recall,1,2,0.0,strict,122,0.004098360655737705,-0.006147540983606557,0.01639344262295082,0.7028,False
