dataset,queries,missing_gold_titles,source_has_all_missing_gold_rate,rank_fill5_missing_gold_recovery_rate,binding_candidate_missing_gold_recovery_rate,dbec_greedy_path_missing_gold_recovery_rate,dbec_final_missing_gold_recovery_rate,mean_dbec_added_non_gold_count,mean_dbec_replaced_rank_gold_count,near_title_substitution_query_rate,dbec_duplicate_title_query_rate,mean_setr_f1,mean_dbec_f1,mean_delta_f1_dbec_minus_setr
2Wiki,122,182,0.9180327868852459,0.6703296703296703,0.7472527472527473,0.7362637362637363,0.8296703296703297,1.2377049180327868,0.09016393442622951,0.01639344262295082,0.02459016393442623,0.6329690346083788,0.918039344262295,0.2850703096539162
HotpotQA,32,32,1.0,0.78125,0.21875,0.4375,0.84375,3.125,0.0,0.1875,0.0625,0.5178591628959276,0.626978125,0.1091189621040724
MuSiQue,106,204,0.8207547169811321,0.3235294117647059,0.04411764705882353,0.25,0.37745098039215685,2.30188679245283,0.03773584905660377,0.07547169811320754,0.330188679245283,0.2274172368511991,0.3093320754716981,0.081914838620499
