dataset,feature,n_strong,n_abstain_helpful,n_bind_helpful,auc_abstain,auc_abs_distance,direction,abstain_mean,bind_mean,mean_diff_abstain_minus_bind
HotpotQA,dep_margin_mean_diagnostic,57,25,32,0.349375,0.150625,high=>bind,0.5019407733333333,0.7547314375,-0.25279066416666673
HotpotQA,multi_candidate_req_count,57,25,32,0.64875,0.14875000000000005,high=>abstain,0.72,0.3125,0.4075
HotpotQA,candidate_count_total,57,25,32,0.64375,0.14375000000000004,high=>abstain,2.64,1.625,1.0150000000000001
HotpotQA,matched_entity_count,57,25,32,0.64375,0.14375000000000004,high=>abstain,2.84,1.65625,1.1837499999999999
HotpotQA,unmatched_entity_count,57,25,32,0.64125,0.14125,high=>abstain,7.6,4.71875,2.8812499999999996
HotpotQA,dep_margin_min_diagnostic,57,25,32,0.359375,0.140625,high=>bind,0.47209608000000003,0.7234814375,-0.2513853575
HotpotQA,candidate_count_max,57,25,32,0.6375,0.13749999999999996,high=>abstain,2.24,1.5625,0.6775000000000002
HotpotQA,single_candidate_req_count,57,25,32,0.365,0.135,high=>bind,0.48,0.75,-0.27
HotpotQA,raw_entity_count,57,25,32,0.630625,0.130625,high=>abstain,12.0,7.4375,4.5625
HotpotQA,alias_match_rate,57,25,32,0.6175,0.11750000000000005,high=>abstain,0.19633333333333333,0.07291666666666667,0.12341666666666666
HotpotQA,unmatched_rate,57,25,32,0.6025,0.10250000000000004,high=>abstain,0.5391086429909959,0.4080632094594217,0.13104543353157422
HotpotQA,bind_conf_match_quality,57,25,32,0.41375,0.08625,high=>bind,0.408080639948287,0.50342621485895,-0.09534557491066298
HotpotQA,requirement_count,57,25,32,0.585,0.08499999999999996,high=>abstain,2.48,2.25,0.22999999999999998
HotpotQA,extraction_count,57,25,32,0.579375,0.07937499999999997,high=>abstain,7.6,6.40625,1.1937499999999996
HotpotQA,dep_score_top1_mean_diagnostic,57,25,32,0.4325,0.0675,high=>bind,0.9182096,0.9410466875,-0.02283708750000002
HotpotQA,skipped_anchor_count,57,25,32,0.5575,0.057499999999999996,high=>abstain,0.68,0.3125,0.36750000000000005
HotpotQA,candidate_req_count,57,25,32,0.55,0.050000000000000044,high=>abstain,1.2,1.0625,0.13749999999999996
HotpotQA,dependent_req_count,57,25,32,0.548125,0.04812499999999997,high=>abstain,1.32,1.15625,0.16375000000000006
HotpotQA,max_dependency_depth,57,25,32,0.548125,0.04812499999999997,high=>abstain,1.32,1.15625,0.16375000000000006
HotpotQA,bind_conf_title_unique,57,25,32,0.456875,0.043125000000000024,high=>bind,0.934,0.96875,-0.03474999999999995
HotpotQA,title_unique_rate,57,25,32,0.456875,0.043125000000000024,high=>bind,0.934,0.96875,-0.03474999999999995
HotpotQA,avg_candidate_title_occurrences,57,25,32,0.543125,0.04312499999999997,high=>abstain,1.092,1.03125,0.06075000000000008
HotpotQA,title_nonunique_rate,57,25,32,0.543125,0.04312499999999997,high=>abstain,0.066,0.03125,0.03475
HotpotQA,duplicate_entity_count,57,25,32,0.46375,0.036250000000000004,high=>bind,0.88,0.71875,0.16125
HotpotQA,empty_entity_responses,57,25,32,0.52625,0.026249999999999996,high=>abstain,3.64,3.34375,0.2962500000000001
HotpotQA,match_rate,57,25,32,0.478125,0.021874999999999978,high=>bind,0.3552699228875699,0.41491563917732166,-0.05964571628975174
HotpotQA,empty_response_rate,57,25,32,0.480625,0.019374999999999976,high=>bind,0.514,0.5177083333333333,-0.0037083333333333135
HotpotQA,bind_conf_candidate_coverage,57,25,32,0.505,0.0050000000000000044,high=>abstain,0.9533333333333334,0.953125,0.0002083333333333659
HotpotQA,candidate_coverage,57,25,32,0.505,0.0050000000000000044,high=>abstain,0.9533333333333334,0.953125,0.0002083333333333659
MuSiQue,duplicate_entity_count,130,69,61,0.6467094321691613,0.14670943216916132,high=>abstain,1.3043478260869565,0.4262295081967213,0.8781183178902352
MuSiQue,avg_candidate_title_occurrences,130,69,61,0.6367308149204086,0.13673081492040862,high=>abstain,2.324691532300228,1.4084699453551912,0.9162215869450367
MuSiQue,bind_conf_title_unique,130,69,61,0.36469470182941316,0.13530529817058684,high=>bind,0.675711044189305,0.8423497267759563,-0.16663868258665127
MuSiQue,title_unique_rate,130,69,61,0.36469470182941316,0.13530529817058684,high=>bind,0.675711044189305,0.8423497267759563,-0.16663868258665127
MuSiQue,title_nonunique_rate,130,69,61,0.6353052981705868,0.13530529817058679,high=>abstain,0.32428895581069495,0.1576502732240437,0.16663868258665124
