split,score_name,threshold,dataset,n,em,f1,title_recall,null_rate,delta_f1_vs_daec,delta_em_vs_daec,delta_title_recall_vs_daec,delta_f1_vs_nobind,macro_f1,macro_delta_f1_vs_daec
all,bind_conf_composite_primary,0.1,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.241,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.11,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.11,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.11,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.335,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.12,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.12,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.12,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.335,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.13,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.13,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.13,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.335,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.14,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.14,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.14,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.335,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.15,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.15,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.15,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.335,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.16,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.16,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.16,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.335,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.17,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.17,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.17,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.335,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.18,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.18,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.18,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.335,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.19,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.19,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.19,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.335,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.2,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.2,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.2,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.335,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.21,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.21,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.21,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.335,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.22,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.22,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.22,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.335,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.23,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.23,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.23,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.335,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.24,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.24,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.24,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.335,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.25,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.25,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.25,MuSiQue,1000,0.337,0.4358931,0.7611666666666667,0.335,0.0,0.0,0.0,-0.009920399999999996,0.6316750666666666,0.0
all,bind_conf_composite_primary,0.26,2Wiki,1000,0.642,0.7118277,0.941,0.302,0.0,0.0,0.0,0.09983739999999997,0.6320083999999999,0.00033333333333333365
all,bind_conf_composite_primary,0.26,HotpotQA,1000,0.62,0.7473044,0.9625,0.343,0.0,0.0,0.0,0.008566799999999986,0.6320083999999999,0.00033333333333333365
all,bind_conf_composite_primary,0.26,MuSiQue,1000,0.338,0.4368931,0.7616666666666667,0.336,0.0010000000000000009,0.0010000000000000009,0.000500000000000056,-0.008920399999999995,0.6320083999999999,0.00033333333333333365
