split,threshold,dataset,f1,em,title_recall,delta_f1_vs_daec,delta_em_vs_daec,delta_title_recall_vs_daec,delta_f1_vs_nobind,null_rate
all,0.95,2Wiki,0.7089547,0.639,0.9395,-0.0028729999999999034,-0.0030000000000000027,-0.0014999999999999458,0.09696440000000006,0.312
all,0.95,HotpotQA,0.7493044,0.622,0.9625,0.0020000000000000018,0.0020000000000000018,0.0,0.010566799999999987,0.372
all,0.95,MuSiQue,0.4543081,0.354,0.7733333333333333,0.018415000000000015,0.01699999999999996,0.012166666666666659,0.008494600000000019,0.639
dev,0.8,2Wiki,0.7224446078431372,0.6470588235294118,0.9411764705882353,-0.007352941176470562,-0.009803921568627416,-0.004901960784313708,0.11976715686274508,0.3284313725490196
dev,0.8,HotpotQA,0.7424103139013453,0.6098654708520179,0.9730941704035875,0.0,0.0,0.0,0.01432062780269061,0.3811659192825112
dev,0.8,MuSiQue,0.4509658227848101,0.3333333333333333,0.7795358649789029,0.014735021097046386,0.016877637130801648,0.004922644163150469,0.018407172995780596,0.6118143459915611
dev,0.81,2Wiki,0.7224446078431372,0.6470588235294118,0.9411764705882353,-0.007352941176470562,-0.009803921568627416,-0.004901960784313708,0.11976715686274508,0.3284313725490196
dev,0.81,HotpotQA,0.7424103139013453,0.6098654708520179,0.9730941704035875,0.0,0.0,0.0,0.01432062780269061,0.38565022421524664
dev,0.81,MuSiQue,0.44927805907172996,0.3333333333333333,0.7795358649789029,0.013047257383966226,0.016877637130801648,0.004922644163150469,0.016719409282700437,0.6286919831223629
dev,0.82,2Wiki,0.7224446078431372,0.6470588235294118,0.9411764705882353,-0.007352941176470562,-0.009803921568627416,-0.004901960784313708,0.11976715686274508,0.3284313725490196
dev,0.82,HotpotQA,0.7424103139013453,0.6098654708520179,0.9730941704035875,0.0,0.0,0.0,0.01432062780269061,0.38565022421524664
dev,0.82,MuSiQue,0.44927805907172996,0.3333333333333333,0.7795358649789029,0.013047257383966226,0.016877637130801648,0.004922644163150469,0.016719409282700437,0.6286919831223629
dev,0.83,2Wiki,0.7224446078431372,0.6470588235294118,0.9411764705882353,-0.007352941176470562,-0.009803921568627416,-0.004901960784313708,0.11976715686274508,0.3284313725490196
