dataset,method,method_minus_setr_f1,dbec_minus_setr_f1,share_of_dbec_gap
2Wiki,rank_fill5,0.20582877959927148,0.2850703096539162,0.7220281194809579
2Wiki,dbec_repair_fill5,0.27686703096539167,0.2850703096539162,0.9712236651425272
2Wiki,oracle_fill5,0.31785063752276865,0.2850703096539162,1.1149903261011247
MuSiQue,rank_fill5,0.11173527730131502,0.081914838620499,1.364041963373331
MuSiQue,dbec_repair_fill5,0.05943396226415096,0.081914838620499,0.7255579485360513
MuSiQue,oracle_fill5,0.3130834574230801,0.081914838620499,3.8220603579963797
