dataset,fresh_em,fresh_f1,fresh_r5,daec_em,daec_f1,daec_r5,nobind_em,nobind_f1,nobind_r5,setr_em,setr_f1,setr_r5,offline_em,offline_f1,offline_r5,delta_f1_vs_daec,delta_f1_vs_nobind,delta_f1_vs_setr,delta_r5_vs_daec,delta_r5_vs_setr,fresh_minus_phase0_f1,fresh_minus_phase0_em,null_rate,phase0_null_rate,bind_count,abstain_count,expected_selection_agreement,query_count,simulated_from_fresh_decisions_f1,simulated_from_fresh_decisions_em,abstain_same_as_daec,abstain_same_as_nobind,abstain_changed_from_daec
2Wiki,0.642,0.7118,0.941,0.642,0.7118,0.941,0.548,0.612,0.861,0.624,0.6936320929070926,0.9423,0.639,0.7089547,0.9395,0.0,0.0998,0.018167907092907387,0.0,-0.0013000000000000789,0.0028452999999999395,0.0030000000000000027,0.302,0.312,698,302,1000,1000,0.7118277,0.642,302,302,0
HotpotQA,0.62,0.7473,0.9605,0.62,0.7473,0.9605,0.616,0.7387,0.9545,0.629,0.7551750575705675,0.973,0.622,0.7493044,0.9625,0.0,0.008599999999999941,-0.0078750575705675,0.0,-0.012499999999999956,-0.0020044000000000173,-0.0020000000000000018,0.343,0.372,657,343,1000,1000,0.7473044,0.62,343,343,0
MuSiQue,0.353,0.4548,0.7469,0.337,0.4359,0.7269,0.343,0.4458,0.7297,0.377,0.47605608635430596,0.7547,0.355,0.4553081,0.774,0.018899999999999972,0.009000000000000008,-0.02125608635430598,0.020000000000000018,-0.007800000000000029,-0.0005081000000000113,-0.0020000000000000018,0.629,0.638,371,629,1000,1000,0.4548081,0.353,367,629,262
