policy,missing_gold_titles,new_recall_at_5,new_recall_at_10,new_recall_at_20,probe_recall_at_5,mean_source_rank,mean_probe_rank,mean_rank_improvement,positive_score_rate,decision,unique_new5_vs_current,lost_new5_vs_current
current_all,86,0.10465116279069768,0.18604651162790697,0.19767441860465115,0.10465116279069768,34.395348837209305,28.511627906976745,5.883720930232558,0.7093023255813954,weak_future_work,0,0
title_strict,86,0.06976744186046512,0.09302325581395349,0.03488372093023256,0.08139534883720931,34.395348837209305,33.83720930232558,0.5581395348837209,0.10465116279069768,weak_future_work,0,3
title_only,86,0.10465116279069768,0.18604651162790697,0.11627906976744186,0.10465116279069768,34.395348837209305,32.348837209302324,2.046511627906977,0.2558139534883721,weak_future_work,2,2
demand_entity_title,86,0.09302325581395349,0.1744186046511628,0.11627906976744186,0.09302325581395349,34.395348837209305,32.95348837209303,1.441860465116279,0.2558139534883721,weak_future_work,2,3
