dataset,risk_group,n,share,mean_requirement_count,mean_dependent_req_count,mean_gold_doc_count,mean_setr_selected_count,setr_under_selected,setr_under_select_rate,dbec_f1,setr_f1,delta_f1_dbec_minus_setr,delta_f1_ci_low,delta_f1_ci_high,delta_f1_ci_excludes_zero,dbec_r5_title,setr_r5_title,delta_r5_title_dbec_minus_setr,delta_r5_ci_low,delta_r5_ci_high,delta_r5_ci_excludes_zero
2Wiki,low,458,0.458,1.9737991266375545,0.9694323144104804,2.0,2.2685589519650655,34,0.07423580786026202,0.5214720524017468,0.4987391005404106,0.022732951861336143,-0.0056139346685580285,0.05136440807494301,False,0.9432314410480349,0.8831877729257642,0.060043668122270744,0.0425764192139738,0.07751091703056769,True
2Wiki,high,542,0.542,3.4464944649446494,1.570110701107011,2.867158671586716,2.837638376383764,123,0.22693726937269373,0.8726817343173432,0.8232327021072409,0.04944903221010232,0.016739278139347325,0.08244426484800563,True,0.9391143911439115,0.8846863468634686,0.0544280442804428,0.03459409594095941,0.07333948339483395,True
HotpotQA,low,630,0.63,1.8158730158730159,0.8063492063492064,2.0,2.6746031746031744,23,0.03650793650793651,0.7301185714285714,0.7175539363634602,0.012564635065111253,-0.011171851527661052,0.0366166958984578,False,0.9587301587301588,0.9095238095238095,0.049206349206349205,0.031746031746031744,0.06666666666666667,True
HotpotQA,high,370,0.37,3.2,1.5918918918918918,2.0,2.8513513513513513,9,0.024324324324324326,0.7765667567567568,0.787660850756826,-0.011094094000069235,-0.03994599347976282,0.016740900126853683,False,0.9689189189189189,0.95,0.01891891891891892,0.0013513513513513514,0.03783783783783784,True
MuSiQue,low,615,0.615,1.9479674796747968,0.9479674796747968,2.292682926829268,3.396747967479675,58,0.0943089430894309,0.5156136585365854,0.5050160321107237,0.01059762642586172,-0.022780086327854623,0.043443753854758876,False,0.8302168021680216,0.7474254742547426,0.08279132791327914,0.05894308943089431,0.10528794037940374,True
MuSiQue,high,385,0.385,3.3714285714285714,2.0961038961038962,3.2155844155844155,3.981818181818182,72,0.18701298701298702,0.35767714285714286,0.3534175054793446,0.00425963737779829,-0.039344224878680126,0.047489753659708825,False,0.6854978354978355,0.6006493506493507,0.08484848484848487,0.05844155844155844,0.11125541125541126,True
